collection_id,acronym,collection_name
,NSMTP,"National Science Museum, Department of Zoology, Tokyo, Japan"
,CBM,"Natural History Museum and Institute, Chiba, Japan."
,FMNH,Field Museum of Natural History
,FAKU,"Kyoto University, Department of Fisheries, Faculty of Agriculture, Japan"
,UMSNH,Museo Universidad Michoacana de San Nicolšs de Hidalgo
,KU,University of Kansas
,AMNH,"American Museum of Natural History, New York, U.S.A."
,USNM,"National Museum of Natural History, Washington D.C., U.S.A. "
,OCF,Okinawa Churashima Foundation
,MNMH,"Museum National d'histoire Naturelle, Paris"
,ODU,Old Dominion University
,UPR,University of Puerto Rico - Rio Piedras
,UNISANTA,Universidade Santa Cecilia
