name ,species,genus,order,family,gallery_id,transcriptome,genome,is_fossil,has_morphology
Achirus achirus,achirus,Achirus,Pleuronectiformes,Achiridae,,,,FALSE,FALSE
Citharoides macrolepis,macrolepis,Citharoides,Pleuronectiformes,Citharidae,,,,FALSE,FALSE
Mulloidichthys dentatus,dentatus,Mulloidichthys,Syngnathiformes,Mullidae,,,,FALSE,FALSE
Lepidorhombus whiffiagonis,whiffiagonis,Lepidorhombus,Pleuronectiformes,Scophthalmidae,,,,FALSE,FALSE
Aulostomus maculatus,maculatus,Aulostomus,Syngnathiformes,Aulostomidae,,,,FALSE,FALSE
Dactyloptena orientalis,orientalis,Dactyloptena,Syngnathiformes,Dactylopteridae,,,,FALSE,FALSE
Polydactylus approximans,approximans,Polydactylus,Carangiformes,Polynemidae,,,,FALSE,FALSE
Achirus lineatus,lineatus,Achirus,Pleuronectiformes,Achiridae,,,,FALSE,FALSE
Dactylopterus volitans,volitans,Dactylopterus,Syngnathiformes,Dactylopteridae,,,,FALSE,FALSE
Auxis rochei,rochei,Auxis,Scombriformes,Scombridae,,,,FALSE,FALSE
Carangoides orthogrammus,orthogrammus,Carangoides,Carangiformes,Carangidae,,,,FALSE,FALSE
Auxis thazard,thazard,Auxis,Scombriformes,Scombridae,,,,FALSE,FALSE
Aulostomus maculatus,maculatus,Aulostomus,Syngnathiformes,Aulostomidae,,,,FALSE,FALSE
Coryphaena hippurus,hippurus,Coryphaena,Carangiformes,Coryphaenidae,,,,FALSE,FALSE
Cubiceps pauciradiatus,pauciradiatus,Cubiceps,Scombriformes,Nomeidae,,,,FALSE,FALSE
Aseraggodes xenicus,xenicus,Aseraggodes,Pleuronectiformes,Soleidae,,,,FALSE,FALSE
Bothus constellatus,constellatus,Bothus,Pleuronectiformes,Bothidae,,,,FALSE,FALSE
Fistularia corneta,corneta,Fistularia,Syngnathiformes,Fistulariidae,,,,FALSE,FALSE
Samariscus japonicus,japonicus,Samariscus,Pleuronectiformes,Samaridae,,,,FALSE,FALSE
Aulostomus chinensis,chinensis,Aulostomus,Syngnathiformes,Aulostomidae,,,,FALSE,FALSE
Fistularia petimba,petimba,Fistularia,Syngnathiformes,Fistulariidae,,,,FALSE,FALSE
Scophthalmus aquosus,aquosus,Scophthalmus,Pleuronectiformes,Scophthalmidae,,,,FALSE,FALSE
Centropomus armatus,armatus,Centropomus,Carangiformes,Centropomidae,,,,FALSE,FALSE
Heteromycteris japonicus,japonicus,Heteromycteris,Pleuronectiformes,Soleidae,,,,FALSE,FALSE
Asterorhombus cocosensis,cocosensis,Asterorhombus,Pleuronectiformes,Bothidae,,,,FALSE,FALSE
Cynoglossus interruptus,interruptus,Cynoglossus,Pleuronectiformes,Cynoglossidae,,,,FALSE,FALSE
Ancylopsetta ommata,ommata,Ancylopsetta,Pleuronectiformes,Paralichthyidae,,,,FALSE,FALSE
Sphyraena borealis,borealis,Sphyraena,Carangiformes,Sphyraenidae,,,,FALSE,FALSE
Pterycombus brama,brama,Pterycombus,Scombriformes,Bramidae,,,,FALSE,FALSE
Nealotus tripes,tripes,Nealotus,Scombriformes,Gempylidae,,,,FALSE,FALSE
Acanthocybium solandri,solandri,Acanthocybium,Scombriformes,Scombridae,,,,FALSE,FALSE
Bothus mancus,mancus,Bothus,Pleuronectiformes,Bothidae,,,,FALSE,FALSE
Neoepinnula orientalis,orientalis,Neoepinnula,Scombriformes,Gempylidae,,,,FALSE,FALSE
Aseraggodes heemstrai,heemstrai,Aseraggodes,Pleuronectiformes,Soleidae,,,,FALSE,FALSE
Symphurus diomedeanus,diomedeanus,Symphurus,Pleuronectiformes,Cynoglossidae,,,,FALSE,FALSE
Sphyraena argentea,argentea,Sphyraena,Carangiformes,Sphyraenidae,,,,FALSE,FALSE
Brama brama,brama,Brama,Scombriformes,Bramidae,,,,FALSE,FALSE
Dactyloptena peterseni,peterseni,Dactyloptena,Syngnathiformes,Dactylopteridae,,,,FALSE,FALSE
Embassichthys bathybius,bathybius,Embassichthys,Pleuronectiformes,Pleuronectidae,,,,FALSE,FALSE
Peprilus paru,paru,Peprilus,Scombriformes,Stromateidae,,,,FALSE,FALSE
Diplogrammus goramensis,goramensis,Diplogrammus,Syngnathiformes,Callionymidae,,,,FALSE,FALSE
Makaira nigricans,nigricans,Makaira,Istiophoriformes,Istiophoridae,,,,FALSE,FALSE
Lepidorhombus boscii,boscii,Lepidorhombus,Pleuronectiformes,Scophthalmidae,,,,FALSE,FALSE
Taractichthys longipinnis,longipinnis,Taractichthys,Scombriformes,Bramidae,,,,FALSE,FALSE
Parupeneus procerigena,procerigena,Parupeneus,Syngnathiformes,Mullidae,,,,FALSE,FALSE
Sphyraena barracuda,barracuda,Sphyraena,Carangiformes,Sphyraenidae,,,,FALSE,FALSE
Paradiplospinus antarcticus,antarcticus,Paradiplospinus,Scombriformes,Gempylidae,,,,FALSE,FALSE
Benthodesmus simonyi,simonyi,Benthodesmus,Scombriformes,Trichiuridae,,,,FALSE,FALSE
Callionymus delicatulus,delicatulus,Callionymus,Syngnathiformes,Callionymidae,,,,FALSE,FALSE
Echeneis naucrates,naucrates,Echeneis,Carangiformes,Echeneidae,,,,FALSE,FALSE
Polydactylus virginicus,virginicus,Polydactylus,Carangiformes,Polynemidae,,,,FALSE,FALSE
Halicampus crinitus,crinitus,Halicampus,Syngnathiformes,Syngnathidae,,,,FALSE,FALSE
Atule mate,mate,Atule,Carangiformes,Carangidae,,,,FALSE,FALSE
Mulloidichthys martinicus,martinicus,Mulloidichthys,Syngnathiformes,Mullidae,,,,FALSE,FALSE
Aseraggodes kobensis,kobensis,Aseraggodes,Pleuronectiformes,Soleidae,,,,FALSE,FALSE
Synchiropus agassizii,agassizii,Synchiropus,Syngnathiformes,Callionymidae,,,,FALSE,FALSE
Psenes pellucidus,pellucidus,Psenes,Scombriformes,Nomeidae,,,,FALSE,FALSE
Syngnathus caribbaeus,caribbaeus,Syngnathus,Syngnathiformes,Syngnathidae,,,,FALSE,FALSE
Parupeneus cyclostomus,cyclostomus,Parupeneus,Syngnathiformes,Mullidae,,,,FALSE,FALSE
Seriola zonata,zonata,Seriola,Carangiformes,Carangidae,,,,FALSE,FALSE
Alectis ciliaris,ciliaris,Alectis,Carangiformes,Carangidae,,,,FALSE,FALSE
Fistularia commersonii,commersonii,Fistularia,Syngnathiformes,Fistulariidae,,,,FALSE,FALSE
Pomatomus saltatrix,saltatrix,Pomatomus,Scombriformes,Pomatomidae,,,,FALSE,FALSE
Xiphias gladius,gladius,Xiphias,Istiophoriformes,Xiphiidae,,,,FALSE,FALSE
Schedophilus medusophagus,medusophagus,Schedophilus,Scombriformes,Centrolophidae,,,,FALSE,FALSE
Psenes cyanophrys,cyanophrys,Psenes,Scombriformes,Nomeidae,,,,FALSE,FALSE
Gymnachirus texae,texae,Gymnachirus,Pleuronectiformes,Achiridae,,,,FALSE,FALSE
Carangoides ruber,ruber,Carangoides,Carangiformes,Carangidae,,,,FALSE,FALSE
Citharichthys gilberti,gilberti,Citharichthys,Pleuronectiformes,Paralichthyidae,,,,FALSE,FALSE
Gymnachirus melas,melas,Gymnachirus,Pleuronectiformes,Achiridae,,,,FALSE,FALSE
Citharichthys spilopterus,spilopterus,Citharichthys,Pleuronectiformes,Paralichthyidae,,,,FALSE,FALSE
Bothus robinsi,robinsi,Bothus,Pleuronectiformes,Bothidae,,,,FALSE,FALSE
